pi;type_pi;group_pi;unit;is_nedra;correct;balance;ИС Недра
агальматолит;неметаллы;поделочные камни;т;;агальматолит;Цветные камни;Драгоценные и поделочные камни
агат;неметаллы;поделочные камни;т;;агат;Цветные камни;Драгоценные и поделочные камни
агрокарбонатные руды;неметаллы;Горно-химическое сырье;тыс.куб.м;Горно-химическое сырье;агрокарбонатные руды;Карбонатные породы для химической мелиорации почв;Горно-химическое сырье
аквамарин;неметаллы;поделочные камни;кг;;аквамарин;Цветные камни;Драгоценные и поделочные камни
алевролит;неметаллы;строительные материалы;тыс.куб.м;;алевролит;;
алевролит (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;алевролит;Кирпично-черепичное сырье;
алевролит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;алевролит;;
алевропесчаник;неметаллы;глина;;;алевролит;;
алевропесчаник (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;алевролит;;
алмазы;благородные;алмаз;тыс. каратов;;алмазы;Алмазы;Драгоценные и поделочные камни
алмазы коренные;благородные;алмаз;;;алмазы;Алмазы;Драгоценные и поделочные камни
алмазы россыпные;благородные;алмаз;тыс. каратов;;алмазы россыпные;Алмазы;Драгоценные и поделочные камни
алунит;металлы;металлы;тыс.т;;алюминий;Высокоглиноземное сырье;
алюминий;металлы;металлы;тыс.т;Цветные металлы;алюминий;;
алюминий (глинозем);металлы;металлы;;Цветные металлы;алюминий (глинозем);Высокоглиноземное сырье;
алюминий (нефелиновые руды);металлы;металлы;млн.т;Цветные металлы;алюминий (нефелиновые руды);Нефелиновые руды;
амазонит;неметаллы;поделочные камни;т;;амазонит;Цветные камни;Драгоценные и поделочные камни
аметист;неметаллы;поделочные камни;кг;;аметист;Цветные камни;Драгоценные и поделочные камни
аметистовые щетки;неметаллы;поделочные камни;кв.дм;;аметистовые щетки;Цветные камни;Драгоценные и поделочные камни
амфибол-асбест;неметаллы;строительные материалы;;;амфибол-асбест;;
амфиболит;неметаллы;строительные материалы;;;амфиболит;;
амфиболиты;неметаллы;строительные материалы;тыс.куб.м;;амфиболиты;;
анальцим;неметаллы;Горно-техническое сырье;;;анальцим;Цветные камни;Драгоценные и поделочные камни
андалузит;металлы;металлы;тыс.т;Цветные металлы;алюминий;Высокоглиноземное сырье;
андезит;неметаллы;строительные материалы;тыс.куб.м;;андезит;;
андезито-базальт;неметаллы;строительные материалы;тыс.куб.м;;андезито-базальт;;
апатитовые руды;неметаллы;Горно-химическое сырье;тыс.т;Горно-химическое сырье;апатитовые руды;Апатитовые руды;Горно-химическое сырье
апатит;неметаллы;Горно-химическое сырье;тыс.т;Горно-химическое сырье;апатитовые руды;Апатитовые руды;Горно-химическое сырье
апатиты;неметаллы;Горно-химическое сырье;тыс.т;Горно-химическое сырье;апатитовые руды;Апатитовые руды;Горно-химическое сырье
аплит;неметаллы;строительные материалы;;;аплит;;
аргиллит;неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;аргиллит;Строительные камни;
аргиллит (керамзитовое сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;аргиллит (керамзитовое сырье);Керамзитовое сырье;
аргиллит (керамзитовое сырье, кирпично-черепичное сырье);неметаллы;строительные материалы;;Минерально-строительное сырье;аргиы кгирпгичные;Кирпично-черепичное сырье;
аргиллит (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;аргиллит;Кирпично-черепичное сырье;
аргиллит каолиновый;неметаллы;строительные материалы;;Минерально-строительное сырье;аргиллит каолиновый;;
асбест;неметаллы;строительные материалы;тыс.т;Горно-техническое сырье;асбест;Асбест;Горно-техническое сырье
асбест амфиболовый;неметаллы;Горно-техническое сырье;тыс.т;Горно-техническое сырье;амфибол-асбест;Асбест для специзделий;Горно-техническое сырье
асбест хризотиловый;неметаллы;строительные материалы;тыс.т;Горно-техническое сырье;асбест;Асбест;Горно-техническое сырье
базальт;неметаллы;строительные материалы;тыс.т;;базальт;;
базальт (для производства минеральной ваты);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (минеральная вата);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (цем. сырье - активн. добавки);неметаллы;строительные материалы;тыс.т;;цемент;;
базальты (для производства минеральной ваты);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
барий;металлы;металлы;тыс.т;;барий;;
барит;неметаллы;Горно-техническое сырье;тыс.т;;барит;;
бентонит;неметаллы;глина;тыс.т;;бентонит;;
берилл;неметаллы;поделочные камни;кг;;берилл;Цветные камни;Драгоценные и поделочные камни
берилл (ювелирные камни);неметаллы;поделочные камни;кг;;берилл;Цветные камни;Драгоценные и поделочные камни
бериллий;металлы;Редкие металлы;тыс.т;Редкие металлы;бериллий;Бериллий;Редкие металлы
битум;неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;битум;Асфальтиты и битумы;Минерально-строительное сырье
боксит;неметаллы;металлы;тыс.т;Цветные металлы;бокситы;Бокситы;Цветные металлы
бокситы;неметаллы;металлы;тыс.т;Цветные металлы;бокситы;Бокситы;Цветные металлы
болотная железная руда (краски);неметаллы;краски;;Минерально-строительное сырье;краски;Минеральные краски;
бор;неметаллы;Горно-техническое сырье;тыс.т;;бор;;
бораты и боросиликаты;неметаллы;Горно-техническое сырье;тыс.т;;бораты и боросиликаты;;
борные руды;неметаллы;Горно-техническое сырье;тыс.т;;борные руды;;
боросиликаты;неметаллы;Горно-техническое сырье;тыс.т;;боросиликаты;;
брекчия;неметаллы;строительные материалы;;;брекчия;;
брекчия (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;брекчия;;
бром;неметаллы;Горно-техническое сырье;тыс.т;;бром;;
бурый уголь;уголь;твердое горючее;тыс.т;Твердые горючие полезные ископаемые;уголь бурый;Уголь;Твердые горючие полезные ископаемые
валунно-гравийно-песчаные отложения;неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-гравийно-песчаный материал;неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-гравийно-песчаный материал (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-гравийно-песчаный материал (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-песчано-гравийный материал;неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
валуны;неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
валуны (наполнители бетона);неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
валуны (отсев) (наполнители бетона);неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
ванадий;металлы;Редкие металлы;тыс.т;Редкие металлы;ванадий;Ванадий;Редкие металлы
ваннадий;металлы;Редкие металлы;;Редкие металлы;ванадий;Ванадий;Редкие металлы
вермикулит;неметаллы;строительные материалы;тыс.куб.м;;вермикулит;;
висмут;металлы;металлы;т;Цветные металлы;висмут;Висмут;Цветные металлы
волластонит;неметаллы;Горно-техническое сырье;тыс.т;Горнотехническое сырье;волластонит;Волластонит;
вольфрам;металлы;металлы;т;Цветные металлы;вольфрам;Вольфрам;Цветные металлы
вольфрам россыпное;металлы;металлы;т;Цветные металлы;вольфрам россыпной;Вольфрам;Цветные металлы
высокоглиноземистые материалы;металлы;металлы;тыс.т;Цветные металлы;алюминий;Высокоглиноземное сырье;
высокоглиноземистый материал;металлы;металлы;тыс.т;Цветные металлы;алюминий;Высокоглиноземное сырье;
габбро;неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро (бутовый камень);неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро-диабаз;неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диабаз (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диабаз (балластное сырье, строительные камни);неметаллы;строительные материалы;;;габбро-диабаз;;
габбро-диабаз (бутовый камень);неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диабаз (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диорит;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;габбро-диорит;Строительные камни;
габбро-долерит;неметаллы;строительные материалы;;;габбро-долерит;;
габбро-долерит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;габбро-долерит;;
габбро-монцонит;неметаллы;строительные материалы;тыс.куб.м;;монцонит;;
габродиорит;неметаллы;строительные материалы;;;габродиорит;;
галечно-гравийная смесь;неметаллы;строительные материалы;тыс.куб.м;;;;
галит;неметаллы;Горно-химическое сырье;тыс.т;;;;
галлий;металлы;Рассеянные элементы;т;Рассеянные элементы;галлий;Рассеянные элементы;Рассеянные элементы
галька (наполнители бетона);неметаллы;строительные материалы;;;;;
галька и гравий;неметаллы;строительные материалы;тыс.куб.м;;;;
гафний;металлы;Рассеянные элементы;;Рассеянные элементы;гафний;Рассеянные элементы;Рассеянные элементы
германий;металлы;Рассеянные элементы;тыс.т;Рассеянные элементы;германий;Рассеянные элементы;Рассеянные элементы
гипс;неметаллы;строительные материалы;тыс.т;;;;
гипс (вяжущие материалы);неметаллы;строительные материалы;тыс.т;;;;
гипс каменный;неметаллы;строительные материалы;тыс.т;;;;
гипс строительный;неметаллы;строительные материалы;тыс.т;;;;
гипсоангидрит;неметаллы;строительные материалы;тыс.т;;;;
глиеж;неметаллы;строительные материалы;тыс.т;;;;
глиеж (цем. сырье - активн. добавки);неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
глина;неметаллы;строительные материалы;тыс.т;;;;
глина ;неметаллы;глина;;;;;
глина (балластное сырье);неметаллы;глина;;;;;
глина (балластное сырье), суглинок (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
глина (буровые растворы);неметаллы;глина;тыс.куб.м;;;;
глина (буровые растворы, керамзитовое сырье, формовочные материалы);неметаллы;глина;;;;;
глина (закладка выемочного пространства);неметаллы;строительные материалы;тыс.т;;;;
глина (катализаторы);неметаллы;глина;;;;;
глина (керамзитовое сырье);неметаллы;глина;тыс.куб.м;;;;
глина (керамзитовое сырье, кирпично-черепичное сырье);неметаллы;строительные материалы;;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина (керамика грубая);неметаллы;глина;тыс.куб.м;;;;
глина (керамика грубая, кирпично-черепичное сырье);неметаллы;строительные материалы;;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина (керамика тонкая);неметаллы;глина;тыс.т;;;;
глина (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глина;Кирпично-черепичное сырье;
глина (кирпично-черепичное сырье), суглинок (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина (краски);неметаллы;краски;тыс.т;Минерально-строительное сырье;краски;Минеральные краски;
глина (огнеупорные материалы);неметаллы;глина;тыс.т;;;;
глина (строительные камни);неметаллы;глина;;;;;
глина (тугоплавкие материалы);неметаллы;глина;тыс.т;;;;
глина (формовочные материалы);неметаллы;глина;;;;;
глина (цем. сырье - глинист. комп.);неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
глина алевритовая;неметаллы;глина;;;алевролит;;
глина алевритовая (керамика грубая);неметаллы;глина;;;алевролит;;
глина алевритовая (формовочные материалы);неметаллы;строительные материалы;тыс.т;;алевролит;;
глина бентонитовая;неметаллы;глина;тыс.т;;;;
глина бентонитовая (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина восковидная;неметаллы;глина;;;;;
глина восковидная (формовочные материалы);неметаллы;строительные материалы;тыс.т;;;;
глина гончарная;неметаллы;глина;;;;;
глина дисперсная;неметаллы;глина;тыс.куб.м;;;;
глина для буровых растворов;неметаллы;глина;;;;;
глина известково-палыгорскитовая (карбонатное сырье для извести);неметаллы;глина;;;;;
глина каолиновая;неметаллы;глина;тыс.т;;;;
глина керамзитовая;неметаллы;глина;тыс.куб.м;;;;
глина керамическая;неметаллы;глина;;;;;
глина кирпичная;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина кирпично-черепичное сырье;неметаллы;строительные материалы;;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина коллоидальная;неметаллы;глина;тыс.т;;;;
глина краски;неметаллы;глина;;;;;
глина красочная;неметаллы;краски;тыс.т;Минерально-строительное сырье;краски;Минеральные краски;
глина легкоплавкая;неметаллы;строительные материалы;тыс.куб.м;;;;
глина легкоплавкая (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина огнеупорная;неметаллы;глина;тыс.т;;;;
глина отбеливающая;неметаллы;глина;тыс.т;;;;
глина охристая;неметаллы;краски;;Минерально-строительное сырье;краски;Минеральные краски;
глина охристая (краски);неметаллы;краски;тыс.т;Минерально-строительное сырье;краски;Минеральные краски;
глина песчанистая (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина пластичная (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глина пылеватая (керамика грубая);неметаллы;глина;;;;;
глина сухарная;неметаллы;глина;;;;;
глина тугоплавкая;неметаллы;глина;тыс.т;;;;
глина черепичная;неметаллы;глина;;;;;
глинистые сланцы керамзитовые;неметаллы;глина;тыс.куб.м;;;;
глины бентониовые;неметаллы;глина;;;;;
глины бентонитовые;неметаллы;глина;тыс.т;;;;
глины буровые;неметаллы;глина;тыс.куб.м;;;;
глины гончарные;неметаллы;строительные материалы;тыс.т;;;;
глины для цементного произ.;неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
глины каолиновые;неметаллы;глина;тыс.т;;;;
глины керамзитовые;неметаллы;глина;тыс.куб.м;;;;
глины керамические;неметаллы;строительные материалы;тыс.куб.м;;;;
глины кирпичные;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;глины кирпичные;Кирпично-черепичное сырье;
глины красочные;неметаллы;краски;тыс.т;Минерально-строительное сырье;краски;Минеральные краски;
глины огнеупорные;неметаллы;глина;тыс.т;;;;
глины сухарные;неметаллы;глина;тыс.т;;;;
глины цементные;неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
глины черепичные;неметаллы;строительные материалы;тыс.куб.м;;;;
гнейс;неметаллы;строительные материалы;тыс.куб.м;;;;
гнейс (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
гнейс (щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
гнейсогранит;неметаллы;строительные материалы;тыс.куб.м;;;;
гнейсо-гранит;неметаллы;строительные материалы;тыс.куб.м;;;;
гнейсо-гранит (строительные камни);неметаллы;строительные материалы;;;;;
гнейсогранит (щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
горный хрусталь;неметаллы;горно-техническое сырье;кг;;горный хрусталь;Пьезооптическое сырье;Драгоценные и поделочные камни
горючие сланцы;неметаллы;твердое горючее;тыс.т;Твердые горючие полезные ископаемые;сланцы горючие;Сланцы горючие;Твердые горючие полезные ископаемые
гравий;неметаллы;строительные материалы;тыс.куб.м;;;;
гравий (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
гравий (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
гравий (отсев);неметаллы;строительные материалы;;;;;
гравий (отсев) (балластное сырье);неметаллы;строительные материалы;;;;;
гравий (отсев) (балластное сырье, дорожное строительство, наполнители бетона);неметаллы;строительные материалы;;;;;
гравий (отсев) (балластное сырье, наполнители бетона);неметаллы;строительные материалы;;;;;
гравий (отсев) (дорожное строительство);неметаллы;строительные материалы;;;;;
гравий (отсев) (дорожное строительство, наполнители бетона);неметаллы;строительные материалы;;;;;
гравий (отсев) (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
гравий (отсев) (наполнители бетона, строительные камни);неметаллы;строительные материалы;;;;;
гравий (отсев) (наполнители бетона, строительные материалы);неметаллы;строительные материалы;;;;;
гравий (отсев) (наполнители бетона, строительные растворы);неметаллы;строительные материалы;;;;;
гравий (отсев) (строительные материалы, наполнители бетона);неметаллы;строительные материалы;;;;;
гравий (щебень) (балластное сырье);неметаллы;строительные материалы;;;;;
гравийно-галечный материал (балластное сырье, наполнители бетона);неметаллы;строительные материалы;;;;;
гравийно-песчаная смесь;неметаллы;строительные материалы;тыс.куб.м;;;;
гравийно-песчаный материал;неметаллы;строительные материалы;тыс.куб.м;;;;
гравийно-песчаный материал (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
гравийно-песчаный материал (гравий) (наполнители бетона);неметаллы;строительные материалы;;;;;
гравийно-песчаный материал (дорожное строительство);неметаллы;строительные материалы;тыс.куб.м;;;;
гравийно-песчаный материал (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
гравийно-песчаный материал (наполнители бетона, балластное сырье);неметаллы;строительные материалы;;;;;
гравийно-песчаный материал (наполнители бетона, строительные растворы);неметаллы;строительные материалы;;;;;
гравийно-песчаный материал (силикатные изделия);неметаллы;строительные материалы;тыс.куб.м;;;;
гравийно-песчаный материал (строительные растворы);неметаллы;строительные материалы;;;;;
гранат;неметаллы;Горно-техническое сырье;тыс.т;;;;
гранит;неметаллы;строительные материалы;тыс.куб.м;;;;
гранит (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
гранит (балластное сырье, строительные камни);неметаллы;строительные материалы;;;;;
гранит (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
гранит (облицовочные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
гранит (полевошпатовое сырье);неметаллы;горно-техническое сырье;тыс.куб.м;;;Полевошпатовое сырье;
гранит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
гранит (щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
гранит аплит;неметаллы;строительные материалы;;;;;
гранит аплит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
гранит мелкозернистый;неметаллы;строительные материалы;тыс.куб.м;;;;
гранит порфировидный;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;порфирит;Строительные камни;
гранит порфировидный (строительные камни);неметаллы;строительные материалы;;Минерально-строительное сырье;порфирит;Строительные камни;
гранит-аплит;неметаллы;строительные материалы;;;;;
гранитные пегматиты;неметаллы;строительные материалы;тыс.куб.м;;гранит;;
гранитогнейс;неметаллы;строительные материалы;тыс.куб.м;;;;
гранитогнейс (на щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
гранитоид;неметаллы;строительные материалы;;;;;
гранитоиды;неметаллы;строительные материалы;тыс.куб.м;;;;
гранит-порфир;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;порфирит;Строительные камни;
граниты;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;гранит;Строительные камни;
граниты (камень облиц.);неметаллы;строительные материалы;;Минерально-строительное сырье;гранит;Строительные камни;
гранодиорит;неметаллы;строительные материалы;тыс.куб.м;;;;
гранодиорит (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
гранодиорит (наполнитель бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
гранодиорит (облицовочные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
гранодиорит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
граносиенит;неметаллы;строительные материалы;тыс.куб.м;;;;
графит;неметаллы;Горно-техническое сырье;тыс.т;;;;
графит кристаллический;неметаллы;Горно-техническое сырье;тыс.т;;;;
грунт;неметаллы;строительные материалы;;Минерально-строительное сырье;;;
датолит;неметаллы;поделочные камни;;;;;
дацит;неметаллы;строительные материалы;тыс.куб.м;;;;
диабаз;неметаллы;строительные материалы;тыс.куб.м;;;;
диабаз (строительное сырье);неметаллы;строительные материалы;;;;;
диабаз (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
диабаз (щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
гранат;неметаллы;поделочные камни;;;гранат;Цветные камни;Драгоценные и поделочные камни
диопсид;неметаллы;поделочные камни;тыс.т;;диопсид;Цветные камни;Драгоценные и поделочные камни
диорит;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;диорит;;
диорит (наполнитель бетона);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;диорит;;
диорит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;диорит;;
дистен;неметаллы;поделочные камни;тыс.т;;;;
долерит;неметаллы;строительные материалы;тыс.куб.м;;;;
долерит (балластное сырье);неметаллы;строительные материалы;;;;;
долерит (для каменного литья, строительные камни);неметаллы;строительные материалы;;;;;
долерит (дорожное строительство);неметаллы;строительные материалы;тыс.куб.м;;;;
долерит (каменное литье);неметаллы;строительные материалы;тыс.куб.м;;;;
долерит (облицовочные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
долерит (облицовочные камни, строительные камни);неметаллы;строительные материалы;;;;;
долерит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
долерит (щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
долеритобазальт;неметаллы;строительные материалы;;;;;
долеритобазальт (минеральная вата);неметаллы;строительные материалы;тыс.куб.м;;;;
долеритобазальт (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит;неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (бальнеологические цели);неметаллы;строительные материалы;;;;;
доломит (для минеральной ваты);неметаллы;строительные материалы;;;;;
доломит (известь строительная);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (карбонатное сырье для извести);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (карбонатное сырье для извести, строительные камни);неметаллы;строительные материалы;;;;;
доломит (карбонатное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (минеральная вата);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (наполнители бетона);неметаллы;строительные материалы;;;;;
доломит (облицовочные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (облицовочные камни, поделочные камни);неметаллы;строительные материалы;;;;;
доломит (огнеупорные материалы);неметаллы;строительные материалы;тыс.т;;;;
доломит (поделочный);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (строительное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
доломит (флюс);неметаллы;Горно-техническое сырье;тыс.т;;;;
доломит (флюсы);неметаллы;Горно-техническое сырье;тыс.т;;;;
доломит выветрелый средней прочности;неметаллы;строительные материалы;;;;;
доломит известковистый;неметаллы;строительные материалы;;;;;
доломит огнеупорный;неметаллы;строительные материалы;тыс.куб.м;;;;
драгоценные и поделочные камни;неметаллы;поделочные камни;кг;;;;Драгоценные и поделочные камни
жадеит;неметаллы;поделочные камни;;;жадеит;Цветные камни;Драгоценные и поделочные камни
железные руды;металлы;металлы;тыс.т;Черные металлы;железные руды;Железные руды;Черные металлы
железо;металлы;металлы;тыс.т;Черные металлы;железные руды;Железные руды;Черные металлы
железо магнетитовое;металлы;металлы;тыс.т;Черные металлы;железные руды;Железные руды;Черные металлы
золото коренное;благородные;золото рудное;кг;Благородные металлы;золото рудное;Золото;Благородные металлы
золото коренное и попутные компоненты;благородные;золото рудное;кг;;;;
золото открытая разработка;благородные;золото россыпное;кг;;;;
золото подземная отработка;благородные;золото рудное;кг;;;;
золото россыпное;благородные;золото россыпное;кг;Благородные металлы;золото россыпное;Золото;Благородные металлы
золото россыпное (непромышленное);благородные;золото россыпное;кг;Благородные металлы;золото россыпное;Золото;Благородные металлы
золото рудное;благородные;золото рудное;кг;Благородные металлы;золото рудное;Золото;Благородные металлы
золото рудное и рассыпное (делювиальные россыпи);благородные;золото рудное;кг;Благородные металлы;золото рудное;Золото;
золото рудное и сопутствующие полезные компоненты;благородные;золото рудное;кг;;;;
известняк;неметаллы;строительные материалы;тыс.т;;известняк;Карбонатное сырье для химической промышленности;Карбонатное сырье для химической промышленности
известняк (для целлюлоз.-бум.пром., карбонатное сырье для извести);неметаллы;строительные материалы;;;известняк;;
известняк (известкование почв);неметаллы;Горно-химическое сырье;тыс.т;;известняковые почвы;Карбонатные породы для подкормки животных и птиц;Карбонатные породы для подкормки животных и птиц
известняк (карбонатное сырье для извести);неметаллы;строительные материалы;тыс.куб.м;;известняк;Карбонатные породы для обжига на известь;Карбонатные породы для обжига на известь
известняк (карбонатное сырье для извести, наполнители бетона);неметаллы;строительные материалы;;;известняк;;
известняк (карбонатное сырье для извести, строительные камни);неметаллы;строительные материалы;;;известняк;;
известняк (карбонатное сырье для химической промышленности);неметаллы;строительные материалы;тыс.т;;известняк;;
известняк (карбонатное сырье);неметаллы;строительные материалы;тыс.куб.м;;известняк;;
известняк (мука известковая);неметаллы;строительные материалы;тыс.т;;известняк;;
известняк (наполнители бетона);неметаллы;строительные материалы;;;известняк;;
известняк (подкормка минеральная);неметаллы;строительные материалы;тыс.т;;известняк;;
известняк (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;известняк;;
известняк (флюс);неметаллы;Горно-техническое сырье;тыс.т;;флюс;;
известняк (флюсы);неметаллы;Горно-техническое сырье;тыс.т;;флюс;;
известняк (химсырье);неметаллы;Горно-химическое сырье;тыс.т;;известняк химсырье;Карбонатное сырье для химической промышленности;
известняк (цем. сырье - карбонат. компоненты);неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
известняк (цементное сырье);неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
известняк доломитизир.;неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;известняк;Строительные камни;
известняк доломитизированный;неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк доломитизированный (для целлюлоз.-бум.пром., карбонатное сырье для извести);неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк доломитизированный (карбонатное сырье для извести);неметаллы;строительные материалы;тыс.куб.м;Горнотехническое сырье;известняк;;
известняк кремнистый;неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк кремнистый (карбонатное сырье для извести);неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк кремнистый (карбонатное сырье);неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк кремнистый (цем. сырье - карбонат. компоненты);неметаллы;строительные материалы;;Горнотехническое сырье;известняк;Цементное сырье;
известняк кристаллический;неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк мергелистый;неметаллы;строительные материалы;тыс.т;Горнотехническое сырье;известняк;;
известняк мраморизованный;неметаллы;строительные материалы;тыс.т;Горнотехническое сырье;известняк;;
известняк мраморизованный (карбонатное сырье для извести);неметаллы;строительные материалы;тыс.куб.м;Горнотехническое сырье;известняк;;
